Community,Occurrence Births,Resident Births,Low Birthweight3,Teen Births 15-19 yr,Infant Deaths4,Neonatal Deaths5,Fetal Deaths6
HOPEDALE,0,61,--7,--7,0,0,--7
HOPKINTON,0,119,8,0,0,0,0
HUBBARDSTON,0,22,0,0,1,1,--7
HUDSON,0,224,29,--7,3,3,5
HULL,0,78,--7,--7,0,0,0
HUNTINGTON,0,25,--7,--7,0,0,0
IPSWICH,0,103,8,--7,0,0,0
KINGSTON,1,113,12,--7,2,2,0
LAKEVILLE,0,85,--7,--7,0,0,0
LANCASTER,2,60,8,--7,1,0,--7
LANESBOROUGH,0,30,--7,--7,0,0,--7
LAWRENCE,"1,529","1,371",96,193,8,5,--7
LEE,2,52,--7,--7,0,0,0
LEICESTER,0,98,10,--7,1,1,0
LENOX,0,32,--7,--7,0,0,0
LEOMINSTER,"1,016",462,42,34,5,2,--7
LEVERETT,0,7,0,0,0,0,0
LEXINGTON,0,203,16,--7,0,0,0
LEYDEN,0,7,--7,0,0,0,0
LINCOLN,2,72,--7,0,0,0,0
LITTLETON,0,85,7,--7,0,0,0
LONGMEADOW,0,86,8,--7,1,0,0
LOWELL,"2,400","1,678",152,184,15,12,12
LUDLOW,1,148,10,8,2,1,0
LUNENBURG,0,76,--7,--7,0,0,0
LYNN,6,"1,443",111,149,7,4,--7
LYNNFIELD,0,72,0,0,0,0,0
MALDEN,2,920,76,17,4,2,--7
MANCHESTER-BY-THE-SEA,0,30,--7,--7,0,0,0
MANSFIELD,0,211,19,--7,0,0,0
MARBLEHEAD,1,157,13,--7,0,0,0
MARION,0,41,0,--7,0,0,0
MARLBOROUGH,2,512,39,23,0,0,0
MARSHFIELD,0,224,12,6,0,0,--7
MASHPEE,0,125,10,5,1,0,0
MATTAPOISETT,0,36,--7,--7,0,0,0
MAYNARD,2,126,--7,--7,0,0,0
MEDFIELD,0,104,11,--7,1,1,0
MEDFORD,2,733,56,14,3,3,--7
MEDWAY,0,120,9,--,1,1,0
MELROSE,"1,146",331,30,0,0,0,0
MENDON,2,43,--7,0,0,0,0
MERRIMAC,0,36,--7,0,0,0,0
METHUEN,967,564,39,26,1,0,--7
MIDDLEBOROUGH,0,235,13,15,2,2,0
MIDDLEFIELD,0,3,0,0,0,0,0
MIDDLETON,0,58,--7,--7,1,1,0
MILFORD,993,376,17,11,0,0,--7
MILLBURY,0,123,--7,6,1,1,--7
MILLIS,2,74,0,--7,0,0,--7
MILLVILLE,0,37,--,--7,1,0,0
MILTON,0,258,13,--7,0,0,--7
MONROE,0,0,0,0,0,0,0
MONSON,0,64,--7,--7,0,0,0
MONTAGUE,1,97,--7,8,0,0,0
MONTEREY,0,5,--7,0,0,0,0
MONTGOMERY,0,5,0,0,0,0,0
MOUNT WASHINGTON,0,0,0,0,0,0,0
NAHANT,0,25,8,--7,0,0,0
